,item_name,main_category,sub_category,unit_buying_price,unit_selling_price,unit_price_margin,quantity,revenue,profit
304,Derana Beef Curry Mix 375G,Pantry Staples,Spices,2.899999999999999,4.99,2.09,16.0,79.83999999999999,33.44
438,Fennel Powder 100G,Pantry Staples,Spices,1.0999999999999999,2.718181818,1.618181818,16.0,43.490909088,25.890909088
685,Meat Masala 200G,Pantry Staples,Spices,1.8500000000000005,2.5,0.6500000000000001,16.0,40.0,10.400000000000002
569,Kithul Jaggery 500G Se,Pantry Staples,Sugar,4.25,5.990000000000001,1.7399999999999998,16.0,95.84,27.839999999999996
976,Soya Beans 500G,Pantry Staples,Pulses And Grains,2.3,3.2899999999999996,0.9900000000000001,16.0,52.63999999999999,15.840000000000002
1104,White Raw Rice 5Kg Derana,Pantry Staples,Rice,9.95,12.990000000000002,3.0399999999999996,16.0,207.84000000000003,48.63999999999999
1075,U/R Chilli Powder Rabee,Pantry Staples,Spices,2.75,3.5,0.75,16.0,56.0,12.0
554,Karapincha Porridge 50G,Pantry Staples,Dry,1.0999999999999999,1.5999999999999999,0.5,16.0,25.60000000000001,8.0
961,Semolina Fine 1Kg,Pantry Staples,Flour,1.5,3.0,1.5,16.0,48.0,24.0
362,Derana Paspanguwa 100G,Pantry Staples,Spices,2.25,3.0,0.75,16.0,48.0,12.0
161,Cardmon Pods 200G,Pantry Staples,Spices,7.200000000000002,9.5,2.3,16.0,152.0,36.8
667,Md Kithul Juggery 500G,Pantry Staples,Sugar,8.5,9.081818182000003,0.5818181819999999,16.0,145.30909091200004,9.309090911999998
396,Derana Yellow Rice Mix 350G,Pantry Staples,Rice,3.2000000000000006,4.5,1.3000000000000003,16.0,72.0,20.800000000000004
349,Derana Lite Basmathi 5Kg,Pantry Staples,Rice,13.400000000000004,17.0,3.600000000000001,16.0,272.0,57.600000000000016
224,Cloves 200G,Pantry Staples,Spices,4.0,5.989999999999999,1.9899999999999993,16.0,95.83999999999999,31.83999999999999
43,Atta 1Kg Pattu,Pantry Staples,Flour,1.75,2.990000000000001,1.2399999999999998,16.0,47.84000000000002,19.839999999999996
749,Olive Oil 500Ml Bal,Pantry Staples,Pasta,5.909999999999998,7.5,1.59,15.0,112.5,23.85
182,Chia Seeds 250G,Pantry Staples,Grains And Pulses,4.5,5.99,1.4899999999999998,15.0,89.84999999999998,22.349999999999994
904,Red Lentils Whole 500G (Skin Off),Pantry Staples,Grains And Pulses,2.0,2.89,0.8900000000000002,15.0,43.35,13.350000000000001
558,Keeramin Small 200G Sera,Pantry Staples,Sardines,4.1000000000000005,4.5,0.4,15.0,67.5,6.0
546,Jak Mallum In Brine Arali,Pantry Staples,Condiments,2.9099999999999993,4.490000000000001,1.5799999999999996,15.0,67.35000000000002,23.699999999999996
476,Garlic Pickle,Pantry Staples,Pickle,2.0,2.990000000000001,0.9900000000000001,15.0,44.850000000000016,14.850000000000001
248,Coriader Whole 250G,Pantry Staples,Spices,1.9499999999999995,3.9900000000000015,2.0399999999999996,15.0,59.85000000000002,30.59999999999999
319,Derana Coconut Vinegar 750Ml,Pantry Staples,Vinegar,1.9499999999999995,2.6900000000000004,0.7400000000000001,15.0,40.35,11.100000000000001
1105,White Sugar 1Kg,Pantry Staples,Baking,1.6000000000000003,2.2899999999999996,0.6899999999999997,15.0,34.349999999999994,10.349999999999996
281,Daawat Biriyani Rice 5Kg,Pantry Staples,Rice,17.5,22.0,4.5,14.0,308.0,63.0
